outfit_id,clothing_id,outfit_desc,vibe
1,118,Parachute pants with asymmetrical crop top,Effortlessly cool and casual
1,120,Parachute pants with asymmetrical crop top,Effortlessly cool and casual
2,127,Cargo sweatpants with oversized tie-dye sweatshirt,Oversized and comfortable
2,122,Cargo sweatpants with oversized tie-dye sweatshirt,Oversized and comfortable
3,76,Black one shoulder crop top and high-waisted shorts,All black summer casual
3,81,Black one shoulder crop top and high-waisted shorts,All black summer casual
4,23,Black corset cami and high-waisted shorts,All black summer casual
4,81,Black corset cami and high-waisted shirts,All black summer casual
5,21,Silk slip dress with pink sequin Chanel purse,Classy formal chic and expensive
5,27,Silk slip dress with pink sequin Chanel purse,Classy formal chic and expensive
6,31,Off-the-shoulder white long sleeve mini dress with YSL bag,All white chic and expensive
6,128,Off-the-shoulder white long sleeve mini dress with YSL bag,All white chic and expensive
